danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,artist.name,track.popularity,year
0.477,0.426,6,-6.961,1,0.043,0.544,0,0.0903,0.789,184.866,audio_features,6GrrkiCRO3HYdgRpO4eKEL,spotify:track:6GrrkiCRO3HYdgRpO4eKEL,https://api.spotify.com/v1/tracks/6GrrkiCRO3HYdgRpO4eKEL,https://api.spotify.com/v1/audio-analysis/6GrrkiCRO3HYdgRpO4eKEL,200067,3,Swing Life Away,Rise Against,59,2016
0.535,0.585,0,-9.3,0,0.0441,0.0145,0.212,0.0928,0.346,169.993,audio_features,0JHQtpBqKqjmJN6qcmjiU6,spotify:track:0JHQtpBqKqjmJN6qcmjiU6,https://api.spotify.com/v1/tracks/0JHQtpBqKqjmJN6qcmjiU6,https://api.spotify.com/v1/audio-analysis/0JHQtpBqKqjmJN6qcmjiU6,160941,4,Always This Late,ODESZA,37,2016
0.451,0.249,0,-14.77,1,0.0286,0.954,0.876,0.605,0.0475,125.414,audio_features,3E9oQBH768xYj5YuZ9WIH7,spotify:track:3E9oQBH768xYj5YuZ9WIH7,https://api.spotify.com/v1/tracks/3E9oQBH768xYj5YuZ9WIH7,https://api.spotify.com/v1/audio-analysis/3E9oQBH768xYj5YuZ9WIH7,153112,4,"Burleson, TX",Clem Leek,36,2016
0.628,0.782,0,-8.225,1,0.0429,4.9e-4,0.203,0.117,0.0691,115,audio_features,4tO93FtEpqdVA0b9RXK4xI,spotify:track:4tO93FtEpqdVA0b9RXK4xI,https://api.spotify.com/v1/tracks/4tO93FtEpqdVA0b9RXK4xI,https://api.spotify.com/v1/audio-analysis/4tO93FtEpqdVA0b9RXK4xI,318307,4,We Belong - Odesza Remix,RAC,55,2016
0.485,0.735,0,-5.125,1,0.0354,0.271,7.49e-6,0.0853,0.216,134.021,audio_features,7fJFDK6XjYsXcMKNHESbot,spotify:track:7fJFDK6XjYsXcMKNHESbot,https://api.spotify.com/v1/tracks/7fJFDK6XjYsXcMKNHESbot,https://api.spotify.com/v1/audio-analysis/7fJFDK6XjYsXcMKNHESbot,267533,4,Fun (feat. Tove Lo),Coldplay,60,2016
0.519,0.0774,7,-23.593,0,0.0629,0.937,0.886,0.107,0.353,135.245,audio_features,7BhZDvzJV21Dd5bY9xvtII,spotify:track:7BhZDvzJV21Dd5bY9xvtII,https://api.spotify.com/v1/tracks/7BhZDvzJV21Dd5bY9xvtII,https://api.spotify.com/v1/audio-analysis/7BhZDvzJV21Dd5bY9xvtII,141200,3,Between the Bars,Elliott Smith,0,2016
0.474,0.908,5,-9.364,0,0.0582,0.00543,0.77,0.111,0.112,139.983,audio_features,5DQEWQoJ3deYCPkRIFm3Ci,spotify:track:5DQEWQoJ3deYCPkRIFm3Ci,https://api.spotify.com/v1/tracks/5DQEWQoJ3deYCPkRIFm3Ci,https://api.spotify.com/v1/audio-analysis/5DQEWQoJ3deYCPkRIFm3Ci,248643,1,Rings,Tycho,43,2016
0.765,0.535,0,-7.229,1,0.0265,0.22,2.55e-5,0.104,0.548,105.019,audio_features,5eWOsyHHic4vJP3LjTVhqv,spotify:track:5eWOsyHHic4vJP3LjTVhqv,https://api.spotify.com/v1/tracks/5eWOsyHHic4vJP3LjTVhqv,https://api.spotify.com/v1/audio-analysis/5eWOsyHHic4vJP3LjTVhqv,183720,4,"Sitting, Waiting, Wishing",Jack Johnson,64,2016
0.689,0.521,0,-5.845,1,0.132,0.119,8.41e-5,0.108,0.178,95.055,audio_features,6TaqooOXAEcijL6G1AWS2K,spotify:track:6TaqooOXAEcijL6G1AWS2K,https://api.spotify.com/v1/tracks/6TaqooOXAEcijL6G1AWS2K,https://api.spotify.com/v1/audio-analysis/6TaqooOXAEcijL6G1AWS2K,229747,4,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,74,2016
0.9,0.538,7,-7.879,1,0.0343,0.229,0.843,0.287,0.713,95.508,audio_features,4j4pPKE3xAblPIbhxScC1j,spotify:track:4j4pPKE3xAblPIbhxScC1j,https://api.spotify.com/v1/tracks/4j4pPKE3xAblPIbhxScC1j,https://api.spotify.com/v1/audio-analysis/4j4pPKE3xAblPIbhxScC1j,173693,4,Rawnald Gregory Erickson the Second,STRFKR,67,2016
